participant,Gaze,Pose,powerful
216,direct,NoPowerpose,3
217,direct,Powerpose,1
218,direct,NoPowerpose,3
219,down,Powerpose,2
220,down,Powerpose,3
221,direct,NoPowerpose,3
222,down,Powerpose,2
223,down,NoPowerpose,2
224,down,NoPowerpose,2
225,down,NoPowerpose,2
226,down,NoPowerpose,2
227,direct,NoPowerpose,4
228,down,NoPowerpose,3
229,direct,NoPowerpose,3
230,down,Powerpose,2
231,direct,Powerpose,3
232,down,NoPowerpose,3
233,down,NoPowerpose,3
234,down,NoPowerpose,1
235,direct,NoPowerpose,3
236,direct,NoPowerpose,2
237,direct,NoPowerpose,2
238,down,Powerpose,3
239,down,Powerpose,3
240,down,NoPowerpose,3
241,down,NoPowerpose,3
242,direct,NoPowerpose,3
243,direct,NoPowerpose,2
244,direct,Powerpose,2
245,down,Powerpose,2
246,down,NoPowerpose,1
247,direct,Powerpose,2
248,down,NoPowerpose,3
249,down,NoPowerpose,2
250,direct,Powerpose,3
251,direct,Powerpose,2
252,down,NoPowerpose,2
253,down,NoPowerpose,3
254,direct,Powerpose,3
255,down,Powerpose,2
256,direct,Powerpose,2
257,direct,NoPowerpose,2
258,direct,NoPowerpose,2
259,direct,NoPowerpose,3
260,direct,Powerpose,3
261,direct,Powerpose,2
262,down,Powerpose,1
263,down,NoPowerpose,3
264,down,Powerpose,1
265,direct,Powerpose,2
266,direct,NoPowerpose,3
267,down,Powerpose,3
268,direct,NoPowerpose,3
269,direct,NoPowerpose,2
270,down,NoPowerpose,3
271,down,NoPowerpose,3
272,direct,NoPowerpose,2
273,direct,Powerpose,3
274,direct,Powerpose,2
275,direct,NoPowerpose,2
276,direct,Powerpose,3
277,down,NoPowerpose,2
278,down,NoPowerpose,2
279,down,Powerpose,2
280,down,Powerpose,2
281,direct,Powerpose,2
282,down,Powerpose,3
283,direct,NoPowerpose,2
284,down,Powerpose,3
285,direct,NoPowerpose,2
286,down,NoPowerpose,3
287,direct,Powerpose,3
288,direct,Powerpose,3
289,down,NoPowerpose,3
290,direct,NoPowerpose,2
291,down,Powerpose,1
292,down,NoPowerpose,2
293,down,Powerpose,3
294,direct,NoPowerpose,2
295,down,Powerpose,3
296,direct,NoPowerpose,3
297,down,Powerpose,3
298,direct,NoPowerpose,3
299,direct,Powerpose,2
300,direct,Powerpose,1
301,direct,NoPowerpose,3
302,down,Powerpose,3
303,down,Powerpose,2
304,down,Powerpose,3
305,direct,Powerpose,2
