ID,catdog,Field_short,Social_Media,Field
150,A dog person,Other,11,Health
151,A dog person,Other,11,Developmental
152,A dog person,Clinical,10,Clinical
153,A dog person,Other,10,Organizational
154,A dog person,Other,18,Other
155,A dog person,Other,10,Health
156,A cat person,Social,5,Social
157,A dog person,Clinical,10,Clinical
158,A dog person,Social,10,Social
159,A dog person,Clinical,5,Clinical
160,A dog person,Counseling,8,Counseling
161,A dog person,Other,18,Educational
162,A dog person,Clinical,10,Clinical
163,A dog person,Social,14,Social
164,A dog person,Other,6,Health
165,A cat person,Social,8,Social
166,A dog person,Other,14,Health
167,A dog person,Clinical,19,Educational
168,A dog person,Other,19,Educational
169,A dog person,Counseling,9,Counseling
170,A dog person,Counseling,12,Counseling
171,A cat person,Other,12,Cognitive
172,A cat person,Counseling,14,Counseling
173,A cat person,Other,9,Health
174,A dog person,Other,15,Health
175,A dog person,Clinical,14,Clinical
176,A cat person,Social,9,Social
177,A cat person,Other,5,Cognitive
178,A dog person,Counseling,10,Counseling
179,A dog person,Counseling,16,Counseling
